Rv0001	NP_214515.1
Rv0186	NP_214700.1
Rv0186A	YP_004837046.2
Rv0187	NP_214701.1
Rv0188	NP_214702.1
Rv0189c	NP_214703.1
Rv0190	NP_214704.1
Rv0191	NP_214705.1
Rv0192	NP_214706.1
Rv0193c	NP_214707.1
Rv0194	NP_214708.1
Rv0195	NP_214709.1
Rv0196	NP_214710.1
Rv0197	NP_214711.1
Rv0198c	NP_214712.1
Rv0199	NP_214713.1
Rv0200	NP_214714.1
Rv0201c	NP_214715.1
Rv0202c	NP_214716.1
Rv0203	NP_214717.1
Rv0204c	NP_214718.2
Rv0205	NP_214719.1
Rv0206c	NP_214720.1
Rv0207c	NP_214721.1
Rv0208c	NP_214722.1
Rv0209	NP_214723.1
Rv0210	NP_214724.1
Rv0211	NP_214725.1
Rv0212c	NP_214726.1
Rv0213c	NP_214727.1
Rv0214	NP_214728.1
Rv0216	NP_214730.1
Rv0217c	NP_214731.1
Rv0218	NP_214732.1
Rv0219	NP_214733.1
Rv0220	NP_214734.1
Rv0221	NP_214735.1
Rv0222	NP_214736.1
Rv0223c	NP_214737.1
Rv0224c	NP_214738.1
Rv0225	NP_214739.1
Rv0226c	NP_214740.1
Rv0227c	NP_214741.1
Rv0228	NP_214742.1
Rv0229c	NP_214743.2
Rv0230c	NP_214744.1
Rv0231	NP_214745.1
Rv0232	NP_214746.1
Rv0233	NP_214747.1
Rv0234c	NP_216247.2
Rv0235c	NP_214749.1
Rv0236c	NP_214750.1
Rv0236A	YP_177619.1
Rv0237	YP_177702.1
Rv0238	NP_214752.1
Rv0239	NP_214753.1
Rv0240	NP_214754.1
Rv0241c	NP_214755.1
Rv0242c	NP_214756.1
Rv0243	NP_214757.1
Rv0244c	NP_214758.1
Rv0245	NP_214759.1
Rv0246	NP_214760.1
Rv0247c	NP_214761.1
Rv0248c	NP_214762.1
Rv0249c	NP_214763.1
Rv0250c	NP_214764.1
Rv0251c	NP_214765.1
Rv0252	NP_214766.1
Rv0253	NP_214767.1
Rv0254c	NP_214768.1
Rv0255c	YP_177703.1
Rv0256c	YP_177704.1
Rv0257	YP_177620.1
Rv0258c	NP_214772.1
Rv0259c	NP_214773.1
Rv0260c	NP_214774.1
Rv0261c	NP_214775.1
Rv0262c	NP_214776.1
Rv0263c	NP_214777.1
Rv0264c	NP_214778.1
Rv0265c	YP_177705.1
Rv0266c	NP_214780.1
Rv0267	NP_214781.1
Rv0268c	NP_214782.1
Rv0269c	NP_214783.1
Rv0270	NP_214784.1
Rv0271c	NP_214785.1
Rv0272c	NP_214786.1
Rv0273c	NP_214787.1
Rv0274	NP_214788.1
Rv0275c	YP_177706.1
Rv0276	NP_214790.1
Rv0277c	NP_214791.1
Rv0278c	YP_177707.1
Rv0279c	YP_177708.1
Rv0280	YP_177709.1
Rv0281	NP_214795.1
Rv0282	NP_214796.1
Rv0283	NP_214797.1
Rv0284	NP_214798.1
Rv0285	YP_177710.1
Rv0286	YP_177711.1
Rv0287	NP_214801.1
Rv0288	NP_214802.1
Rv0289	NP_214803.1
Rv0290	NP_214804.1
Rv0291	NP_214805.1
Rv0292	NP_214806.1
Rv0293c	NP_214807.1
Rv0294	NP_214808.1
Rv0295c	NP_214809.1
Rv0296c	YP_177712.1
Rv0297	YP_177713.1
Rv0298	NP_214812.1
Rv0299	NP_214813.1
Rv0300	NP_214814.1
Rv0301	NP_214815.1
Rv0302	NP_214816.1
Rv0303	NP_214817.1
Rv0304c	YP_177714.1
Rv0305c	YP_177715.1
Rv0306	NP_214820.1
Rv0307c	NP_214821.1
Rv0308	NP_214822.1
Rv0309	NP_214823.1
Rv0310c	NP_214824.1
Rv0311	NP_214825.1
Rv0312	NP_214826.1
Rv0313	NP_214827.1
Rv0314c	NP_214828.1
Rv0315	NP_214829.1
Rv0316	NP_214830.1
Rv0317c	NP_214831.1
Rv0318c	YP_177716.1
Rv0319	NP_214833.1
Rv0320	NP_214834.1
Rv0321	NP_214835.1
Rv0322	NP_214836.1
Rv0323c	NP_214837.1
Rv0324	NP_214838.1
Rv0325	NP_214839.1
Rv0326	NP_214840.1
Rv0327c	NP_214841.1
Rv0328	NP_214842.1
Rv0329c	NP_214843.1
Rv0330c	NP_214844.1
Rv0331	NP_214845.1
Rv0332	NP_214846.1
Rv0333	NP_214847.1
Rv0334	NP_214848.1
Rv0335c	YP_177717.1
Rv0336	NP_214850.1
Rv0337c	NP_214851.1
Rv0338c	NP_214852.1
Rv0339c	NP_214853.1
Rv0340	NP_214854.1
Rv0341	NP_214855.1
Rv0342	NP_214856.1
Rv0343	NP_214857.1
Rv0344c	NP_214858.1
Rv0345	NP_214859.1
Rv0346c	YP_177718.1
Rv0347	NP_214861.1
Rv0348	NP_214862.1
Rv0349	NP_214863.1
Rv0350	NP_214864.1
Rv0351	NP_214865.1
Rv0352	YP_177719.1
Rv0353	NP_214867.1
Rv0354c	YP_177720.1
Rv0355c	YP_177721.2
Rv0356c	NP_214870.1
Rv0357c	NP_214871.1
Rv0358	NP_214872.1
Rv0359	NP_214873.1
Rv0360c	NP_214874.1
Rv0361	NP_214875.1
Rv0362	NP_214876.1
Rv0363c	NP_214877.1
Rv0364	NP_214878.1
Rv0365c	NP_214879.1
Rv0366c	NP_214880.1
Rv0367c	NP_214881.1
Rv0368c	NP_214882.1
Rv0369c	NP_214883.1
Rv0370c	NP_214884.1
Rv0371c	NP_214885.1
Rv0372c	NP_214886.1
Rv0373c	NP_214887.1
Rv0374c	NP_214888.1
Rv0375c	NP_214889.1
Rv0376c	NP_214890.1
Rv0377	NP_214891.1
Rv0378	NP_214892.1
Rv0379	YP_177722.1
Rv0380c	NP_214894.1
Rv0381c	NP_214895.1
Rv0382c	YP_177723.1
Rv0383c	NP_214897.1
Rv0384c	NP_214898.1
Rv0385	NP_214899.1
Rv0386	NP_214900.1
Rv0389	NP_214903.1
Rv0390	NP_214904.1
Rv0391	NP_214905.1
Rv0392c	NP_214906.1
Rv0393	NP_214907.1
Rv0394c	NP_214908.1
Rv0395	NP_214909.1
Rv0396	NP_214910.1
Rv0397	NP_214911.1
Rv0397A	YP_004837048.2
Rv0398c	NP_214912.1
Rv0399c	NP_214913.1
Rv0400c	NP_214914.1
Rv0401	NP_214915.1
Rv0402c	NP_214916.1
Rv0403c	NP_214917.1
Rv0404	NP_214918.1
Rv0405	NP_214919.1
Rv0406c	NP_214920.1
Rv0407	NP_214921.1
Rv0408	NP_214922.1
Rv0409	NP_214923.1
Rv0410c	NP_214924.1
Rv0411c	NP_214925.1
Rv0412c	NP_214926.1
Rv0413	NP_214927.1
Rv0414c	NP_214928.1
Rv0415	NP_214929.1
Rv0416	NP_214930.1
Rv0417	NP_214931.1
Rv0418	NP_214932.1
Rv0419	NP_214933.1
Rv0420c	NP_214934.1
Rv0421c	NP_214935.1
Rv0422c	NP_214936.1
Rv0423c	NP_214937.1
Rv0424c	NP_214938.1
Rv0425c	NP_214939.1
Rv0426c	NP_214940.1
Rv0427c	NP_214941.1
Rv0428c	NP_214942.1
Rv0429c	NP_214943.1
Rv0430	NP_214944.1
Rv0431	NP_214945.1
Rv0432	NP_214946.1
Rv0433	NP_214947.1
Rv0434	NP_214948.1
Rv0435c	NP_214949.1
Rv0436c	NP_214950.1
Rv0437c	NP_214951.1
Rv0438c	YP_177725.1
Rv0439c	NP_214953.1
Rv0440	NP_214954.1
Rv0441c	NP_214955.1
Rv0442c	YP_177726.2
Rv0443	NP_214957.1
Rv0444c	NP_214958.1
Rv0445c	NP_214959.1
Rv0446c	NP_214960.1
Rv0447c	NP_214961.1
Rv0448c	NP_214962.1
Rv0449c	NP_214963.1
Rv0450c	NP_214964.1
Rv0451c	NP_214965.1
Rv0452	NP_214966.1
Rv0453	YP_177727.1
Rv0455c	NP_214969.1
Rv0456c	NP_214970.1
Rv0456A	YP_177621.1
Rv0456B	YP_007409102.1
Rv0457c	NP_214971.1
Rv0458	NP_214972.1
Rv0459	NP_214973.1
Rv0460	NP_214974.1
Rv0461	NP_214975.1
Rv0462	NP_214976.1
Rv0463	NP_214977.1
Rv0464c	NP_214978.1
Rv0465c	NP_214979.1
Rv0466	NP_214980.1
Rv0467	YP_177728.1
Rv0468	NP_214982.1
Rv0469	YP_177729.1
Rv0470c	YP_177730.1
Rv0470A	YP_177622.1
Rv0471c	NP_214985.1
Rv0472c	NP_214986.1
Rv0473	NP_214987.2
Rv0474	NP_214988.1
Rv0475	NP_214989.1
Rv0476	NP_214990.1
Rv0477	NP_214991.1
Rv0478	NP_214992.1
Rv0479c	NP_214993.1
Rv0480c	NP_214994.2
Rv0481c	NP_214995.1
Rv0482	NP_214996.1
Rv0483	NP_214997.1
Rv0484c	NP_214998.1
Rv0485	NP_214999.1
Rv0486	NP_215000.1
Rv0487	NP_215001.1
Rv0488	NP_215002.1
Rv0489	YP_177731.1
Rv0490	NP_215004.1
Rv0491	NP_215005.1
Rv0492c	NP_215006.2
Rv0492A	YP_177623.1
Rv0493c	NP_215007.1
Rv0494	NP_215008.2
Rv0495c	NP_215009.1
Rv0496	NP_215010.3
Rv0497	NP_215011.1
Rv0498	NP_215012.1
Rv0499	NP_215013.1
Rv0500	NP_215014.1
Rv0500A	YP_177624.1
Rv0501	NP_215050.2
Rv0502	NP_215016.1
Rv0503c	NP_215017.1
Rv0504c	NP_215018.1
Rv0505c	YP_177732.1
Rv0506	NP_215020.1
Rv0507	NP_215021.1
Rv0508	NP_215022.1
Rv0509	NP_215023.1
Rv0510	NP_215024.1
Rv0511	YP_177733.1
Rv0512	NP_215026.1
Rv0513	NP_215027.1
Rv0514	NP_215028.1
Rv0515	NP_215029.1
Rv0516c	NP_215030.1
Rv0517	NP_215031.1
Rv0518	NP_215032.1
Rv0519c	NP_215033.1
Rv0522	YP_177734.1
Rv0523c	NP_215037.1
Rv0524	NP_215038.1
Rv0525	NP_215039.1
Rv0526	NP_215040.1
Rv0527	YP_177735.1
Rv0528	NP_215042.1
Rv0529	NP_215041.2
Rv0530	NP_215044.1
Rv0530A	YP_007409181.1
Rv0531	NP_215045.1
Rv0532	YP_177736.1
Rv0533c	NP_215047.1
Rv0534c	NP_215048.1
Rv0535	NP_215049.1
Rv0536	YP_177737.1
Rv0537c	NP_215051.1
Rv0538	NP_215052.1
Rv0539	NP_215053.1
Rv0540	NP_215054.1
Rv0541c	NP_215055.1
Rv0542c	NP_215056.1
Rv0543c	NP_215057.1
Rv0544c	NP_215058.1
Rv0545c	NP_215059.1
Rv0546c	NP_215060.1
Rv0547c	NP_215061.1
Rv0548c	NP_215062.1
Rv0549c	NP_215063.1
Rv0550c	NP_215064.1
Rv0551c	NP_215065.1
Rv0552	NP_215066.1
Rv0553	NP_215067.1
Rv0554	NP_215068.1
Rv0555	NP_215069.1
Rv0556	NP_215070.1
Rv0557	NP_215071.1
Rv0558	YP_177738.1
Rv0559c	NP_215073.1
Rv0560c	NP_215074.1
Rv0561c	NP_215075.1
Rv0562	NP_215076.1
Rv0563	NP_215077.1
Rv0564c	NP_215078.1
Rv0565c	NP_215079.1
Rv0566c	NP_215080.1
Rv0567	NP_215081.1
Rv0568	NP_215082.1
Rv0569	NP_215083.1
Rv0570	NP_215084.1
Rv0571c	NP_215085.1
Rv0572c	NP_215086.1
Rv0573c	NP_215087.1
Rv0574c	NP_215088.1
Rv0575c	NP_215089.1
Rv0576	NP_215090.1
Rv0577	NP_215091.1
Rv0578c	YP_177739.1
Rv0579	NP_215093.1
Rv0580c	NP_215094.1
Rv0581	NP_215095.1
Rv0582	NP_215096.1
Rv0583c	NP_215097.1
Rv0584	NP_215098.1
Rv0585c	NP_215099.1
Rv0586	NP_215100.1
Rv0587	NP_215101.1
Rv0588	NP_215102.1
Rv0589	YP_177740.1
Rv0591	NP_215105.1
Rv0592	NP_215106.1
Rv0593	NP_215107.1
Rv0594	NP_215108.1
Rv0595c	NP_215109.1
Rv0596c	NP_215110.1
Rv0597c	NP_215111.1
Rv0598c	NP_215112.1
Rv0599c	NP_215113.1
Rv0600c	NP_215114.2
Rv0601c	NP_215115.1
Rv0602c	NP_215116.1
Rv0603	NP_215117.1
Rv0604	NP_215118.1
Rv0605	NP_215119.2
Rv0607	NP_215121.1
Rv0608	NP_215122.1
Rv0609	NP_215123.1
Rv0609A	YP_177628.1
Rv0610c	NP_215124.1
Rv0611c	NP_215125.2
Rv0612	NP_215126.1
Rv0613c	NP_215127.1
Rv0614	NP_215128.2
Rv0615	NP_215129.1
Rv0616A	YP_007409270.1
Rv0617	NP_215131.1
Rv0620	NP_215134.1
Rv0621	NP_215135.1
Rv0622	NP_215136.2
Rv0623	NP_215137.1
Rv0624	NP_215138.1
Rv0625c	NP_215139.1
Rv0626	NP_215140.1
Rv0627	NP_215141.1
Rv0628c	NP_215142.1
Rv0629c	NP_215143.1
Rv0630c	NP_215144.1
Rv0631c	NP_215145.1
Rv0632c	NP_215146.1
Rv0633c	NP_215147.1
Rv0634c	NP_215148.1
Rv0634A	YP_177629.1
Rv0634B	YP_177630.1
Rv0635	NP_215149.1
Rv0636	NP_215150.1
Rv0637	NP_215151.1
Rv0638	YP_177743.1
Rv0639	NP_215153.1
Rv0640	NP_215154.1
Rv0641	NP_215155.1
Rv0642c	NP_215156.1
Rv0643c	NP_215157.1
Rv0644c	NP_215158.1
Rv0645c	NP_215159.1
Rv0646c	NP_215160.1
Rv0647c	NP_215161.1
Rv0648	NP_215162.1
Rv0649	YP_177744.1
Rv0650	NP_215164.1
Rv0651	NP_215165.1
Rv0652	NP_215166.1
Rv0653c	NP_215167.1
Rv0654	NP_215168.1
Rv0655	NP_215169.1
Rv0656c	NP_215170.1
Rv0657c	NP_215171.1
Rv0658c	NP_215172.1
Rv0659c	NP_215173.1
Rv0660c	NP_215174.1
Rv0661c	NP_215175.1
Rv0662c	NP_215176.2
Rv0663	NP_215177.1
Rv0664	NP_215178.1
Rv0665	NP_215179.1
Rv0666	NP_215180.1
Rv0667	NP_215181.1
Rv0668	NP_215182.1
Rv0669c	NP_215183.1
Rv0670	NP_215184.1
Rv0671	NP_215185.1
Rv0672	NP_215186.1
Rv0673	NP_215187.1
Rv0674	NP_215188.1
Rv0675	YP_177745.1
Rv0676c	NP_215190.1
Rv0677c	NP_215191.1
Rv0678	NP_215192.1
Rv0679c	NP_215193.1
Rv0680c	NP_215194.1
Rv0681	NP_215195.1
Rv0682	NP_215196.1
Rv0683	NP_215197.1
Rv0684	YP_177746.1
Rv0685	NP_215199.1
Rv0686	NP_215200.1
Rv0687	NP_215201.1
Rv0688	NP_215202.1
Rv0689c	NP_215203.1
Rv0690c	NP_215204.1
Rv0691c	NP_215205.1
Rv0691A	YP_007409348.2
Rv0692	NP_215206.1
Rv0693	NP_215207.1
Rv0694	NP_215208.1
Rv0695	NP_215209.1
Rv0696	NP_215210.1
Rv0697	NP_215211.1
Rv0698	NP_215212.1
Rv0699	NP_215213.1
Rv0700	NP_215214.1
Rv0701	NP_215215.1
Rv0702	NP_215216.1
Rv0703	NP_215217.1
Rv0704	NP_215218.1
Rv0705	NP_215219.1
Rv0706	NP_215220.1
Rv0707	NP_215221.1
Rv0708	NP_215222.1
Rv0709	NP_215223.1
Rv0710	NP_215224.1
Rv0711	NP_215225.1
Rv0712	NP_215226.1
Rv0713	NP_215227.1
Rv0714	NP_215228.1
Rv0715	NP_215229.1
Rv0716	NP_215230.1
Rv0717	YP_177747.1
Rv0718	NP_215232.1
Rv0719	NP_215233.1
Rv0720	NP_215234.1
Rv0721	NP_215235.1
Rv0722	NP_215236.1
Rv0723	NP_215237.1
Rv0724	NP_215238.1
Rv0725c	NP_215239.1
Rv0726c	NP_215240.1
Rv0727c	NP_215241.1
Rv0728c	NP_215242.1
Rv0729	NP_215243.1
Rv0730	NP_215244.1
Rv0731c	NP_215245.1
Rv0732	NP_215246.1
Rv0733	NP_215247.1
Rv0734	YP_177748.1
Rv0735	NP_215249.1
Rv0736	NP_215250.1
Rv0737	NP_215251.1
Rv0738	NP_215252.1
Rv0739	NP_215253.1
Rv0740	NP_215254.1
Rv0742	YP_177749.1
Rv0743c	NP_215257.1
Rv0744c	NP_215258.1
Rv0745	NP_215259.1
Rv0746	YP_177750.1
Rv0747	YP_177751.1
Rv0748	NP_215262.1
Rv0749	NP_215263.1
Rv0749A	YP_177632.1
Rv0750	NP_215264.1
Rv0751c	NP_215265.1
Rv0752c	NP_215266.1
Rv0753c	NP_215267.1
Rv0754	YP_177752.1
Rv0755c	YP_177753.1
Rv0756c	NP_215270.1
Rv0757	NP_215271.1
Rv0758	NP_215272.1
Rv0759c	NP_215273.3
Rv0760c	NP_215274.1
Rv0761c	YP_177754.1
Rv0762c	NP_215276.1
Rv0763c	NP_215277.1
Rv0764c	NP_215278.1
Rv0765c	NP_215279.1
Rv0766c	NP_215280.1
Rv0767c	NP_215281.1
Rv0768	NP_215282.1
Rv0769	NP_215283.1
Rv0770	NP_215284.1
Rv0771	NP_215285.1
Rv0772	NP_215286.1
Rv0773c	NP_215287.1
Rv0774c	NP_215288.2
Rv0775	NP_215289.1
Rv0776c	NP_215290.1
Rv0777	NP_215291.1
Rv0778	NP_215292.1
Rv0779c	NP_215293.1
Rv0780	NP_215294.1
Rv0783c	NP_215297.1
Rv0784	NP_215298.1
Rv0785	NP_215299.1
Rv0786c	NP_215300.2
Rv0787	NP_215301.1
Rv0787A	YP_177755.1
Rv0788	NP_215303.1
Rv0789c	NP_215304.1
Rv0790c	NP_215305.1
Rv0791c	NP_215306.1
Rv0792c	NP_215307.1
Rv0793	NP_215308.1
Rv0794c	YP_177756.1
Rv0797	NP_215312.1
Rv0798c	NP_215313.1
Rv0799c	NP_215314.1
Rv0800	NP_215315.1
Rv0801	NP_215316.1
Rv0802c	NP_215317.1
Rv0803	NP_215318.1
Rv0804	NP_215319.1
Rv0805	NP_215320.1
Rv0806c	NP_215321.1
Rv0807	NP_215322.1
Rv0808	NP_215323.1
Rv0809	NP_215324.1
Rv0810c	NP_215325.1
Rv0811c	NP_215326.1
Rv0812	YP_177757.1
Rv0813c	NP_215328.1
Rv0814c	NP_215329.1
Rv0815c	NP_215330.1
Rv0816c	NP_215331.1
Rv0817c	NP_215332.1
Rv0818	NP_215333.1
Rv0819	NP_215334.1
Rv0820	NP_215335.1
Rv0821c	NP_215336.1
Rv0822c	NP_215337.1
Rv0823c	NP_215338.1
Rv0824c	YP_177758.1
Rv0825c	NP_215340.1
Rv0826	NP_215341.1
Rv0827c	NP_215342.1
Rv0828c	NP_215343.1
Rv0830	NP_215345.1
Rv0831c	NP_215346.1
Rv0832	YP_177759.1
Rv0833	YP_177760.1
Rv0834c	YP_177761.1
Rv0835	NP_215350.1
Rv0836c	NP_215351.1
Rv0837c	NP_215352.1
Rv0838	NP_215353.1
Rv0839	NP_215354.1
Rv0840c	NP_215355.1
Rv0841	YP_177634.1
Rv0842	NP_215357.1
Rv0843	NP_215358.1
Rv0844c	NP_215359.1
Rv0845	NP_215360.1
Rv0846c	NP_215361.1
Rv0847	NP_215362.1
Rv0848	YP_177762.1
Rv0849	NP_215364.1
Rv0851c	NP_215366.1
Rv0852	NP_215367.2
Rv0853c	NP_215368.1
Rv0854	NP_215369.1
Rv0855	NP_215370.1
Rv0856	NP_215371.1
Rv0857	NP_215372.2
Rv0858c	NP_215373.1
Rv0859	NP_215374.1
Rv0860	NP_215375.1
Rv0861c	NP_215376.3
Rv0862c	NP_215377.1
Rv0863	NP_215378.2
Rv0864	NP_215379.1
Rv0865	NP_215380.1
Rv0866	NP_215381.1
Rv0867c	NP_215382.1
Rv0868c	NP_215383.1
Rv0869c	NP_215384.1
Rv0870c	NP_215385.1
Rv0871	NP_215386.1
Rv0872c	YP_177763.1
Rv0873	NP_215388.1
Rv0874c	NP_215389.1
Rv0875c	NP_215390.1
Rv0876c	NP_215391.1
Rv0877	NP_215392.1
Rv0878c	YP_177764.1
Rv0879c	NP_215394.1
Rv0880	NP_215395.1
Rv0881	NP_215396.1
Rv0882	NP_215397.1
Rv0883c	NP_215398.1
Rv0884c	NP_215399.1
Rv0885	NP_215400.1
Rv0886	NP_215401.1
Rv0887c	NP_215402.1
Rv0888	NP_215403.1
Rv0889c	NP_215404.1
Rv0890c	NP_215405.1
Rv0891c	NP_215406.1
Rv0892	NP_215407.1
Rv0893c	NP_215408.1
Rv0894	NP_215409.1
Rv0895	NP_215410.1
Rv0896	NP_215411.1
Rv0897c	NP_215412.1
Rv0898c	NP_215413.1
Rv0899	NP_215414.1
Rv0900	NP_215415.1
Rv0901	NP_215416.1
Rv0902c	NP_215417.1
Rv0903c	NP_215418.1
Rv0904c	NP_215419.1
Rv0905	NP_215420.1
Rv0906	NP_215421.1
Rv0907	NP_215422.1
Rv0908	NP_215423.1
Rv0909	NP_215424.1
Rv0910	NP_215425.1
Rv0911	NP_215426.1
Rv0912	NP_215427.1
Rv0913c	NP_215428.1
Rv0914c	NP_215429.1
Rv0915c	YP_177765.1
Rv0916c	YP_177766.1
Rv0917	NP_215432.1
Rv0918	NP_215433.1
Rv0919	NP_215434.1
Rv0920c	NP_215435.1
Rv0921	NP_215436.1
Rv0922	NP_215437.1
Rv0923c	NP_215438.1
Rv0924c	YP_177767.1
Rv0925c	NP_215440.1
Rv0926c	NP_215441.1
Rv0927c	NP_215442.1
Rv0928	YP_177768.1
Rv0929	NP_215444.1
Rv0930	NP_215445.2
Rv0931c	NP_215446.1
Rv0932c	YP_177769.1
Rv0933	NP_215448.1
Rv0934	YP_177770.1
Rv0935	YP_177771.1
Rv0936	NP_215451.1
Rv0937c	NP_215452.1
Rv0938	NP_215453.1
Rv0939	NP_215454.1
Rv0940c	NP_215455.1
Rv0941c	NP_215456.1
Rv0942	NP_215457.1
Rv0943c	NP_215458.1
Rv0944	NP_215459.1
Rv0945	NP_215460.1
Rv0946c	NP_215461.1
Rv0948c	NP_215463.1
Rv0949	YP_177772.1
Rv0950c	NP_215465.1
Rv0951	NP_215466.1
Rv0952	NP_215467.1
Rv0953c	NP_215468.1
Rv0954	NP_215469.1
Rv0955	NP_215470.1
Rv0956	NP_215471.1
Rv0957	NP_215472.1
Rv0958	NP_215473.1
Rv0959	NP_215474.1
Rv0959A	YP_007409620.1
Rv0960	NP_215475.1
Rv0961	NP_215476.1
Rv0962c	NP_215477.1
Rv0963c	NP_215478.1
Rv0964c	NP_215479.1
Rv0965c	NP_215480.1
